building_id,grade,ward_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq
d4943badb2,1,91302,2,2,3,400,16
d4943bae81,1,91302,2,2,2,450,16
d4943baf48,1,91302,2,2,30,400,16
d4943bb77e,1,91302,1,1,12,453,8
d4943bb970,1,91302,2,2,8,726,16
d4943bbf48,1,91302,2,2,3,759,16
d4943bc910,1,91302,1,1,18,287,8
84dd05930be,1,91303,2,2,10,612,18
d494d5b8e1,1,91303,2,2,999,360,16
84dd0594c7a,1,91303,2,2,18,918,16
d494d5be54,1,91303,2,2,3,780,16
d494d5c499,1,91303,2,2,999,638,14
d494d5c62a,1,91303,2,2,999,630,16
d494d5cb3f,1,91303,1,1,999,552,8
d494d5cc06,1,91303,5,5,999,1040,40
d494d5cec9,1,91303,2,2,999,782,16
d494d5d1da,1,91303,2,2,999,864,15
d494d5d503,1,91303,2,2,999,504,16
d494d5dc69,1,91303,3,3,999,438,24
d494d5e5cc,1,91303,2,2,999,588,17
d494d5e8ee,1,91303,2,2,999,472,17
84ddc35c406,1,91305,2,2,60,609,16
d4960561fc,1,91305,2,2,12,352,14
d496056901,1,91305,1,1,4,1144,8
d496056b5c,1,91305,1,1,13,504,7
d496056d4c,1,91305,1,1,25,880,9
d496056fa8,1,91305,2,2,9,400,14
d496057841,1,91305,2,2,83,1040,15
d496057a33,1,91305,2,2,15,576,14
d49606e2ba,1,91305,1,1,33,270,9
d49606eed6,1,91305,3,3,21,316,20
d4969df500,1,91306,2,2,999,460,16
d4969dfa0b,1,91306,2,2,999,513,15
d4969dfad7,1,91306,2,2,999,260,15
d497368d6a,1,91307,2,2,4,780,16
d49736902b,1,91307,2,2,4,912,14
d49736959e,1,91307,2,2,22,629,14
d49736978f,1,91307,2,2,14,570,14
d4973697fb,1,91307,2,2,9,430,13
d497d22cea,1,91308,2,2,1,290,14
d497d3b317,1,91308,2,2,15,250,15
84dee4554d6,1,91308,1,1,15,172,9
d49867b5bc,1,91309,2,2,6,499,14
d49867b61c,1,91309,2,2,25,651,15
d49867b873,1,91309,2,2,7,464,18
d49867bd8e,1,91309,2,2,30,350,15
d49867bdf2,1,91309,2,2,5,209,13
d49867bf1c,1,91309,2,2,5,490,17
d49867c306,1,91309,2,2,11,826,18
d49867c625,1,91309,2,2,7,192,12
d49867cb99,1,91309,2,2,3,507,18
d49867cbff,1,91309,2,2,3,425,17
d49867cf22,1,91309,2,2,30,351,15
d49867d4f8,1,91309,2,2,16,364,18
d49867d5c3,1,91309,2,2,15,150,13
d49867d6f1,1,91309,2,2,5,399,16
d49867da70,1,91309,2,2,18,520,17
d49867dccb,1,91309,2,2,9,222,17
d49867ddf2,1,91309,2,2,22,467,16
d49867e04e,1,91309,2,2,5,170,15
d49867e822,1,91309,2,2,15,286,16
84df40f2c66,1,91309,2,2,14,357,15
d49867ed37,1,91309,2,2,60,325,16
d49867f054,1,91309,2,2,95,378,18
d499004c9b,1,91310,2,2,11,462,14
d499004efa,1,91310,1,1,6,302,7
d49900508a,1,91310,3,3,12,878,25
84dfa032d52,1,91310,2,2,5,255,15
d499005347,1,91310,2,2,5,130,13
d4990058ba,1,91310,1,1,7,600,10
d49900685b,1,91310,2,2,17,500,14
d4990068c0,1,91310,2,2,30,350,15
d499006c43,1,91310,1,1,4,280,8
d499007035,1,91310,2,2,7,450,17
84dfa04624e,1,91310,2,2,3,400,15
d499007093,1,91310,1,1,40,200,7
d499009224,1,91310,2,2,16,505,16
d49998ef3d,1,91311,2,2,5,512,16
d49998f065,1,91311,2,2,7,512,16
d49998f2c0,1,91311,2,2,3,590,16
d49998f3ef,1,91311,1,1,3,600,9
d49998f833,1,91311,1,1,3,420,8
d49998fedb,1,91311,1,1,8,498,8
d49998ff41,1,91311,2,2,20,560,16
d4999901f6,1,91311,2,2,5,523,16
d4999904ba,1,91311,2,2,28,512,16
d499990711,1,91311,2,2,6,520,16
d499990714,1,91311,1,1,5,420,8
d499990c89,1,91311,2,2,30,516,16
d499991335,1,91311,2,2,31,570,16
d4999918a0,1,91311,2,2,20,570,16
d499991fa9,1,91311,2,2,8,590,16
d49999219b,1,91311,3,3,10,580,16
d499992263,1,91311,2,2,20,640,16
d4999926af,1,91311,1,1,19,580,8
d499992777,1,91311,2,2,6,590,16
d499992ee6,1,91311,2,2,16,590,16
84dfffbdd12,1,91311,2,2,3,560,16
d499993072,1,91311,2,2,8,610,16
d499993653,1,91311,2,2,10,560,16
d4999936b4,1,91311,2,2,10,600,16
d499993723,1,91311,2,2,18,590,16
84dfffc4a0e,1,91311,2,2,3,580,16
d499993d5a,1,91311,1,1,15,560,8
84dfffc694e,1,91311,2,2,14,590,16
d499993eef,1,91311,1,1,8,540,8
d49999407b,1,91311,2,2,8,600,16
d4999946b8,1,91311,1,1,10,540,8
84dfffcd2c6,1,91311,2,2,3,590,16
d49999497a,1,91311,2,2,30,600,16
d499994aa0,1,91311,1,1,17,540,8
84dfffd01a6,1,91311,2,2,5,540,16
d499994dc5,1,91311,2,2,25,580,16
d499994f52,1,91311,2,2,15,600,16
d49999507b,1,91311,2,2,50,600,16
d4999955fa,1,91311,2,2,20,580,16
84dfffd6736,1,91311,2,2,20,590,16
d499995850,1,91311,3,3,20,560,24
d499995918,1,91311,2,2,20,540,16
d49a32ff11,1,91312,2,2,11,320,14
d49a33010d,1,91312,2,2,2,850,20
d49a3305b9,1,91312,2,2,17,730,16
d49a331109,1,91312,2,2,45,640,16
d49a331364,1,91312,2,2,8,520,16
d49a331559,1,91312,2,2,15,640,16
d49a34867b,1,91312,2,2,21,290,14
d49a349618,1,91312,1,1,2,391,9
d49a34986e,1,91312,1,1,30,430,7
d49a349f1b,1,91312,2,2,4,420,14
d49acb9720,1,91313,2,2,25,1300,15
d49acb9aa5,1,91313,2,2,15,700,16
84e0bf4587e,1,91313,2,2,18,850,16
d49acbad69,1,91313,2,2,12,500,11
d49acbae90,1,91313,2,2,4,450,11
d49acbaef8,1,91313,2,2,6,450,12
84e0bf4dd4e,1,91313,2,2,11,600,12
d49acbb151,1,91313,2,2,16,580,12
d49acbb59b,1,91313,2,2,12,689,15
d49acbb6c4,1,91313,2,2,4,450,12
d49acbbc3a,1,91313,2,2,7,680,19
d49acbc289,1,91313,1,1,4,1500,12
d49acbccaa,1,91313,2,2,5,980,14
d49acbd1b6,1,91313,2,2,12,980,15
d49acbd4dc,1,91313,2,2,20,985,14
d49acbdcad,1,91313,2,2,10,986,17
d49acbdd0d,1,91313,2,2,3,987,12
84e0bf6b20e,1,91313,2,2,8,864,12
d49acbe3b2,1,91313,2,2,8,1200,16
d49acbe478,1,91313,2,2,20,569,11
d49acbef69,1,91313,2,2,4,1000,12
d49acbf22b,1,91313,2,2,10,980,12
d49acbf287,1,91313,2,2,13,1000,13
d49acbf92f,1,91313,2,2,12,1409,12
d49acd1e28,1,91313,2,2,16,525,20
d49acd207e,1,91313,3,3,8,483,27
d49acd20e2,1,91313,2,2,24,392,18
d49acd2212,1,91313,2,2,14,403,20
d49acd22d5,1,91313,3,3,22,502,27
d5467362e6,1,91601,2,2,3,567,13
d5467364cf,1,91601,2,2,75,720,15
d546736e3d,1,91601,1,1,4,224,9
d5470bf831,1,91602,2,2,30,420,14
d5470bfc14,1,91602,2,2,20,600,15
854c677dca6,1,91602,2,2,22,696,15
d5470bfdaa,1,91602,1,1,30,282,9
d5470bfdb0,1,91602,2,2,15,288,14
d5470c0066,1,91602,2,2,30,630,14
d5470c0323,1,91602,2,2,18,325,14
d5483d3660,1,91604,3,3,4,520,21
d5483d36be,1,91604,2,2,999,482,18
d5483d3d67,1,91604,3,3,50,760,21
d5483d3e2d,1,91604,3,3,37,525,21
854d2648136,1,91604,3,3,15,540,21
854d26494be,1,91604,3,3,999,540,21
d5483d4343,1,91604,2,2,37,620,18
d5483d44d4,1,91604,3,3,999,480,21
d5483d46cb,1,91604,3,3,22,280,21
d5483d47f8,1,91604,2,2,999,320,20
d5483d485a,1,91604,3,3,999,420,21
d5483d48b7,1,91604,3,3,999,440,21
d5483d4c9f,1,91604,3,3,999,375,21
d548d5b9ba,1,91605,3,3,999,550,21
d548d5bae3,1,91605,2,2,999,250,18
d548d5bbb1,1,91605,3,3,58,712,21
d548d5bdae,1,91605,2,2,999,380,14
d548d5be6f,1,91605,3,3,26,325,21
d548d5c254,1,91605,3,3,999,485,21
d5496e51cb,1,91606,1,1,13,280,13
d5496e5296,1,91606,2,2,58,600,13
d5496e5368,1,91606,2,2,19,600,12
d5496e5425,1,91606,2,2,27,1200,17
d5496e5486,1,91606,3,3,28,1500,22
d5496e56dc,1,91606,2,2,5,250,15
d5496e599c,1,91606,2,2,40,450,15
d5496e6103,1,91606,2,2,27,350,14
d5496e7042,1,91606,3,3,2,280,22
d5496e71d4,1,91606,3,3,4,640,27
d5496e81d6,1,91606,2,2,82,240,14
d5496e862b,1,91606,2,2,3,220,13
d5496e8a71,1,91606,1,1,20,210,9
d5496e8b3b,1,91606,2,2,12,240,15
d54a06e5ef,1,91607,2,2,3,345,14
d54a06e652,1,91607,2,2,52,685,14
d54a06e6be,1,91607,3,3,999,500,20
d54a06e7e6,1,91607,2,2,100,465,20
d54a06e8aa,1,91607,3,3,80,410,20
d54a06e912,1,91607,3,3,47,485,21
d54a06e977,1,91607,3,3,52,625,20
d54a06ec96,1,91607,3,3,999,440,21
d54a06ee2a,1,91607,3,3,46,395,20
d54a06efb7,1,91607,2,2,999,220,13
d54a06f019,1,91607,3,3,20,420,20
d54a06f1aa,1,91607,3,3,52,510,21
d54a06f4ce,1,91607,3,3,999,650,21
d54a06f6c2,1,91607,2,2,999,340,14
d54a06f724,1,91607,2,2,999,280,15
d54a06f785,1,91607,3,3,36,480,21
d54a06f7ed,1,91607,2,2,999,324,12
d54a06faa5,1,91607,3,3,999,380,20
d54a06fdc5,1,91607,2,2,33,495,20
d54a06ffb8,1,91607,3,3,12,510,21
d54a070020,1,91607,2,2,999,395,20
d54a070083,1,91607,1,1,10,220,10
d54a0700e6,1,91607,2,2,30,315,18
d54a070216,1,91607,2,2,999,350,18
d54a070406,1,91607,2,2,12,495,19
d54a0705f8,1,91607,2,2,999,360,20
d54a07078f,1,91607,2,2,999,425,14
d54b381352,1,91609,2,2,61,320,14
d54b381674,1,91609,2,2,2,305,14
d54b383104,1,91609,2,2,999,220,14
d54c6942b0,1,91611,1,1,60,330,6
d54d01d673,1,91612,2,2,14,209,12
d54d01d738,1,91612,2,2,14,246,12
d54d01d8cf,1,91612,2,2,18,252,12
d54d01da58,1,91612,2,2,14,428,12
d54d9a7076,1,91613,2,2,4,570,17
d54d9a74c1,1,91613,2,2,34,304,16
d585091aa1,1,91706,2,2,4,274,16
d5bda8f5ae,1,91801,1,1,50,312,6
d5bda8fa5b,1,91801,2,2,14,567,12
d5bda8fac4,1,91801,2,2,12,1225,12
d5bda8fb23,1,91801,2,2,14,486,12
d5bda8fcba,1,91801,1,1,25,285,6
d5bda8fd83,1,91801,2,2,15,408,12
d5be418970,1,91802,2,2,19,374,12
d5be4189d2,1,91802,2,2,27,350,14
d5be418b00,1,91802,2,2,16,392,12
d5be418c2d,1,91802,2,2,22,378,14
d5be418c93,1,91802,1,1,52,378,6
8596e8f817e,1,91802,2,2,17,476,14
d5be418dba,1,91802,2,2,13,660,14
85974853f56,1,91803,2,2,9,391,12
d5beda22b2,1,91803,2,2,27,351,12
d5beda2317,1,91803,2,2,22,224,12
8597485627e,1,91803,2,2,18,408,12
d5beda26fa,1,91803,2,2,14,598,12
d5bf72b670,1,91804,2,2,15,580,12
d5bf72b73d,1,91804,1,1,7,96,6
d5bf72b79f,1,91804,2,2,16,480,12
d5bf72bb88,1,91804,2,2,37,378,14
d5c00b4e83,1,91805,2,2,13,186,12
d5c00b5073,1,91805,2,2,22,374,12
d5c00b50dc,1,91805,2,2,34,352,12
d5c00b52d3,1,91805,1,1,8,112,6
d5c00b54c7,1,91805,2,2,24,156,12
d5c00b57df,1,91805,2,2,22,308,12
d5c00b5bc6,1,91805,2,2,18,392,12
d5c00b5e83,1,91805,2,2,4,162,14
d5c00b5f4d,1,91805,2,2,17,392,14
d5c0a3e4a2,1,91806,2,2,7,144,12
d5c0a3e56a,1,91806,2,2,22,392,12
d5c0a3e886,1,91806,2,2,16,304,14
d5c0a3ec73,1,91806,2,2,9,182,12
d5c0a3f375,1,91806,2,2,9,246,12
d5c13c7cb0,1,91807,2,2,19,292,14
d5c13c7f6c,1,91807,2,2,13,242,14
d5c13c841f,1,91807,1,1,3,204,6
d5c26db43f,1,91809,2,2,4,346,12
d6ac141af2,1,92201,1,1,4,176,6
d76146d41a,1,92505,2,2,999,462,12
d79b17da3c,1,92602,2,2,2,588,19
d84fb1fbb9,1,92905,2,2,1,328,12
d850e32856,1,92907,2,2,2,270,14
87559282d56,1,93001,1,1,10,208,12
d888ea6d4a,1,93001,2,2,2,283,18
d889830376,1,93002,2,2,0,1325,20
8756b09dc0e,1,93004,2,2,32,463,16
d88ab4300a,1,93004,2,2,2,255,16
d88d1688df,1,93008,2,2,2,260,17
d88daf1f64,1,93009,2,2,2,270,16
d8c64ef872,1,93104,3,3,3,595,21
d8c64ef9a3,1,93104,3,3,26,287,21
877bf15db66,1,93104,3,3,40,298,21
d900200084,1,93201,1,1,10,325,8
d900b89831,1,93202,2,2,11,432,13
d901512bf5,1,93203,2,2,16,480,13
d901512cba,1,93203,2,2,25,560,14
d901512d94,1,93203,2,2,65,325,13
d9015131cf,1,93203,2,2,15,408,13
d901e9c273,1,93204,2,2,18,450,13
d901e9c784,1,93204,2,2,50,635,14
d901e9c84c,1,93204,2,2,10,493,13
d9028258f3,1,93205,2,2,30,550,13
d902825a7e,1,93205,2,2,14,384,13
d902825c15,1,93205,2,2,24,567,14
d902825da5,1,93205,2,2,40,360,14
d902825f2f,1,93205,2,2,20,430,13
d9028260c5,1,93205,2,2,20,378,14
d902826122,1,93205,1,1,20,209,9
d9031af102,1,93206,2,2,40,399,14
d9031af178,1,93206,2,2,4,812,17
87a1f0d8d1e,1,93206,2,2,43,550,13
d9031af54e,1,93206,2,2,40,480,14
d9031af5b3,1,93206,2,2,93,504,14
d9031af938,1,93206,2,2,27,675,13
87a25033f3e,1,93207,2,2,20,459,12
d903b38783,1,93207,2,2,15,480,14
d903b387e6,1,93207,2,2,13,299,14
d903b38849,1,93207,2,2,38,570,14
d903b3901f,1,93207,2,2,10,504,13
d903b39080,1,93207,2,2,55,504,14
d903b39401,1,93207,2,2,3,598,14
d903b39656,1,93207,2,2,16,336,14
d903b3984b,1,93207,2,2,30,377,14
d903b39a47,1,93207,1,1,3,270,8
87c554bd956,1,93301,2,2,26,538,14
d93bbacae5,1,93301,2,2,30,420,14
d93bbacbb0,1,93301,3,3,25,780,25
d499004fc3,1,91310,1,2,9,405,7
d49acbfc4d,1,91313,1,2,7,1245,10
d5470bfa82,1,91602,1,2,26,392,10
87a25038976,1,93207,1,2,4,456,8
e91209a118,1,100103,2,2,17,288,15
e9146bf982,1,100107,2,2,15,576,15
e9146bf9e7,1,100107,2,2,6,384,15
e95137eeef,1,100209,2,2,46,231,12
e9880e10ad,1,100301,1,1,3,288,7
e988a69e92,1,100302,2,2,28,535,14
91f5c782237,1,100303,2,2,9,280,14
e98ba195b3,1,100307,2,2,40,395,14
e98c3a227e,1,100308,2,2,20,390,14
921c26589f7,1,100406,2,2,36,400,16
e9c73c5979,1,100407,2,2,35,360,16
924167171df,1,100506,2,2,50,400,14
eab34523f5,1,100803,2,2,80,388,11
eab477d796,1,100805,2,2,83,403,14
eab477d926,1,100805,3,3,38,286,24
eab477dca5,1,100805,2,2,15,484,12
eab477e416,1,100805,2,2,32,576,14
92b0caf1776,1,100805,2,2,35,345,14
eab477eca8,1,100805,2,2,42,228,12
92b0cafe67f,1,100805,2,2,6,351,17
92b0cb0c13e,1,100805,2,2,9,264,12
92b0cb0c526,1,100805,3,3,7,225,19
eab478141c,1,100805,3,3,7,750,19
eab478287b,1,100805,2,2,28,192,13
eab4782d1c,1,100805,3,3,5,760,21
eab484207a,1,100805,3,3,6,440,22
92b12966217,1,100806,2,2,26,412,12
eab50f11a3,1,100806,2,2,28,386,12
eab5a9074b,1,100807,2,2,16,196,16
eab5a91a70,1,100807,3,3,10,246,24
eab5a92308,1,100807,2,2,16,205,16
92b18aa082e,1,100807,2,2,18,316,12
92b1e82b0b7,1,100808,2,2,50,401,18
eab809edd5,1,100811,2,2,11,440,16
92b30634dfe,1,100811,2,2,11,345,16
92b306355cf,1,100811,2,2,11,399,16
92d48d398f6,1,100901,2,2,18,200,14
eaedaec477,1,100901,2,2,18,260,16
92d54bf5edf,1,100903,2,2,35,280,16
eaf0a9b23f,1,100906,2,2,21,180,14
eaf0a9b30f,1,100906,2,2,18,320,16
eaf0a9b433,1,100906,2,2,5,320,14
eaf0a9b48e,1,100906,2,2,18,340,16
92d728cc7c7,1,100908,2,2,19,220,14
eb29e22499,1,101002,2,2,18,386,14
eb2cdd14b8,1,101007,2,2,6,435,14
eba07f2410,1,101201,3,3,3,524,18
eba543d935,1,101209,3,3,17,418,18
ec53e8149d,1,101502,3,3,28,308,21
ec53e817be,1,101502,3,3,25,306,21
93fe932bcde,1,101701,2,2,80,375,12
eccbb63e52,1,101703,2,2,65,312,12
eccf49c686,1,101709,1,1,27,605,10
ed41baa74e,1,101901,2,2,55,361,14
ed41baa93f,1,101901,2,2,50,256,14
ed41baa9a0,1,101901,3,3,50,358,21
ed42533d67,1,101902,2,2,32,375,14
ed4253414b,1,101902,2,2,30,276,14
ed425341b5,1,101902,2,2,35,312,14
9449740a45f,1,101902,2,2,35,308,14
ed425344d4,1,101902,2,2,45,230,14
ed4253459a,1,101902,2,2,5,332,12
ed42534921,1,101902,2,2,35,310,12
ed42534b15,1,101902,2,2,15,414,11
ed42534bd6,1,101902,2,2,35,312,12
ed42534c3a,1,101902,2,2,19,560,12
ed4253508b,1,101902,2,2,25,467,12
ed42535662,1,101902,2,2,35,371,14
ed4253572c,1,101902,2,2,15,324,12
ed43846d21,1,101904,2,2,35,297,14
944a32c5aa7,1,101904,3,3,18,386,21
ed43846fe3,1,101904,2,2,65,237,14
ed4384716e,1,101904,2,2,36,338,14
ed438472fb,1,101904,3,3,37,391,21
ed4384761e,1,101904,2,2,35,271,14
ed441d091f,1,101905,2,2,40,312,12
ed44b596ff,1,101906,2,2,3,270,14
ed44b599bb,1,101906,2,2,80,725,14
944b50dd696,1,101907,2,2,35,372,12
ed454e3169,1,101907,2,2,40,308,12
ed454e31d3,1,101907,2,2,14,513,13
ed45e6c6c1,1,101908,2,2,40,312,12
ed45e6ca3e,1,101908,2,2,18,440,12
ed467f595a,1,101909,2,2,32,276,12
ed467f5ae8,1,101909,2,2,35,252,11
ed467f6449,1,101909,2,2,30,300,14
ed467f64a9,1,101909,2,2,25,286,12
ed7d5570ed,1,102001,2,2,13,300,12
9470f0f9fe2,1,102008,2,2,14,300,12
ed81819131,1,102008,2,2,42,300,12
edf48b08ce,1,102201,3,3,3,250,22
94b8d6ee876,1,102201,2,2,20,190,14
edf48b1807,1,102201,2,2,10,180,15
94b8d6ef42e,1,102201,3,3,15,205,22
edf5239b67,1,102202,1,1,3,105,8
edf523a147,1,102202,3,3,5,430,22
edf523a33b,1,102202,3,3,80,235,22
edf523a4c3,1,102202,3,3,22,255,21
edf523a9d7,1,102202,2,2,25,225,14
edf523ab05,1,102202,2,2,48,285,14
edf523ac31,1,102202,3,3,15,210,20
edf523ae24,1,102202,3,3,12,265,20
edf523ae8d,1,102202,2,2,15,210,13
edf523aef0,1,102202,2,2,50,210,14
edf523afb8,1,102202,2,2,12,205,15
edf523b465,1,102202,3,3,12,270,20
edf523b851,1,102202,2,2,8,190,14
edf5bc3186,1,102203,1,1,9,145,8
edf5bc324a,1,102203,1,1,4,160,8
edf5bc32ad,1,102203,1,1,3,160,8
edf5bc34a7,1,102203,1,1,8,170,8
94b995a19ef,1,102203,1,1,10,105,7
edf5bc3951,1,102203,3,3,8,270,18
edf5bc437b,1,102203,1,1,3,150,8
94b995ab246,1,102203,1,1,3,120,7
edf5bc488d,1,102203,2,2,20,225,14
94b995afc7e,1,102203,3,3,3,290,20
edf5bc4d3d,1,102203,1,1,3,120,7
edf5bc5124,1,102203,2,2,10,225,14
edf5bc52b5,1,102203,2,2,10,250,14
edf5bc5443,1,102203,1,1,1,150,7
edf5bc5706,1,102203,2,2,5,240,14
edf5bc6190,1,102203,1,1,3,150,7
edf5bc637e,1,102203,2,2,18,280,14
edf6564d79,1,102204,3,3,22,320,20
edf656573e,1,102204,3,3,15,340,20
edf6565c4f,1,102204,2,2,32,240,14
